binary_question,Count
Must Step 7 happen after Step 6?,18
Must Step 6 happen after Step 5?,17
Must Step 5 happen after Step 3?,14
Must Step 4 happen after Step 2?,14
Must Step 5 happen after Step 4?,14
Must Step 4 happen after Step 3?,14
Must Step 3 happen after Step 2?,13
Must Step 2 happen after Step 1?,12
Must Step 8 happen after Step 6?,11
Must Step 9 happen after Step 8?,11
Must Step 8 happen after Step 5?,10
Must Step 9 happen after Step 7?,10
Must Step 7 happen after Step 5?,9
Must Step 5 happen after Step 2?,9
Must Step 3 happen after Step 1?,9
Must Step 10 happen after Step 8?,9
Must Step 8 happen after Step 4?,9
Must Step 10 happen after Step 9?,8
Must Step 9 happen after Step 6?,7
Must Step 6 happen after Step 3?,7
Must Step 6 happen after Step 2?,7
Must Step 4 happen after Step 1?,7
Must Step 9 happen after Step 4?,7
Must Step 8 happen after Step 3?,6
Must Step 8 happen after Step 7?,6
Must Step 7 happen after Step 3?,6
Must Step 9 happen after Step 5?,6
Must Step 12 happen after Step 11?,6
Must Step 6 happen after Step 4?,5
Must Step 11 happen after Step 9?,5
Must Step 12 happen after Step 3?,5
Must Step 11 happen after Step 10?,4
Must Step 5 happen after Step 1?,4
Must Step 10 happen after Step 7?,4
Must Step 12 happen after Step 8?,4
Must Step 13 happen after Step 9?,4
Must Step 7 happen after Step 4?,4
Must Step 15 happen after Step 13?,3
Must Step 13 happen after Step 4?,3
Must Step 15 happen after Step 14?,3
Must Step 11 happen after Step 7?,3
Must Step 9 happen after Step 1?,3
Must Step 13 happen after Step 11?,3
Must Step 16 happen after Step 13?,3
Must Step 16 happen after Step 12?,3
Must Step 17 happen after Step 13?,3
Must Step 13 happen after Step 8?,3
Must Step 15 happen after Step 9?,3
Must Step 12 happen after Step 9?,3
Must Step 9 happen after Step 2?,3
Must Step 10 happen after Step 5?,3
Must Step 10 happen after Step 3?,3
Must Step 11 happen after Step 8?,3
Must Step 11 happen after Step 6?,3
Must Step 7 happen after Step 2?,3
Must Step 12 happen after Step 7?,2
Must Step 14 happen after Step 13?,2
Must Step 17 happen after Step 14?,2
Must Step 12 happen after Step 10?,2
Must Step 12 happen after Step 5?,2
Must Step 12 happen after Step 4?,2
Must Step 12 happen after Step 6?,2
Must Step 15 happen after Step 6?,2
Must Step 10 happen after Step 1?,2
Must Step 13 happen after Step 7?,2
Must Step 17 happen after Step 5?,2
Must Step 8 happen after Step 2?,2
Must Step 15 happen after Step 10?,2
Must Step 15 happen after Step 5?,2
Must Step 12 happen after Step 2?,2
Must Step 17 happen after Step 16?,2
Must Step 10 happen after Step 4?,2
Must Step 17 happen after Step 7?,2
Must Step 18 happen after Step 10?,2
Must Step 10 happen after Step 6?,2
Must Step 15 happen after Step 2?,2
Must Step 6 happen after Step 1?,2
Must Step 15 happen after Step 8?,2
Must Step 9 happen after Step 3?,2
Must Step 13 happen after Step 5?,2
Must Step 18 happen after Step 12?,2
Must Step 16 happen after Step 14?,2
Must Step 16 happen after Step 9?,2
Must Step 21 happen after Step 13?,2
Must Step 15 happen after Step 11?,1
Must Step 18 happen after Step 13?,1
Must Step 20 happen after Step 6?,1
Must Step 17 happen after Step 6?,1
Must Step 20 happen after Step 7?,1
Must Step 20 happen after Step 12?,1
Must Step 13 happen after Step 12?,1
Must Step 13 happen after Step 6?,1
Must Step 15 happen after Step 7?,1
Must Step 14 happen after Step 8?,1
Must Step 16 happen after Step 6?,1
Must Step 11 happen after Step 2?,1
Must Step 15 happen after Step 12?,1
Must Step 13 happen after Step 10?,1
Must Step 14 happen after Step 11?,1
Must Step 11 happen after Step 3?,1
Must Step 14 happen after Step 12?,1
Must Step 15 happen after Step 1?,1
Must Step 15 happen after Step 4?,1
Must Step 11 happen after Step 1?,1
Must Step 20 happen after Step 15?,1
Must Step 21 happen after Step 14?,1
Must Step 10 happen after Step 2?,1
Must Step 8 happen after Step 1?,1
Must Step 7 happen after Step 1?,1
Must Step 16 happen after Step 10?,1
Must Step 17 happen after Step 10?,1
Must Step 17 happen after Step 12?,1
Must Step 21 happen after Step 12?,1
Must Step 17 happen after Step 4?,1
Must Step 17 happen after Step 9?,1
Must Step 22 happen after Step 13?,1
Must Step 18 happen after Step 5?,1
Must Step 16 happen after Step 8?,1
Must Step 17 happen after Step 8?,1
Must Step 17 happen after Step 15?,1
Must Step 22 happen after Step 17?,1
Must Step 13 happen after Step 3?,1
Must Step 22 happen after Step 16?,1
Must Step 16 happen after Step 11?,1
Must Step 22 happen after Step 18?,1
Must Step 11 happen after Step 5?,1
Must Step 21 happen after Step 15?,1
Must Step 20 happen after Step 11?,1
Must Step 21 happen after Step 11?,1
Must Step 18 happen after Step 11?,1
Must Step 18 happen after Step 16?,1
Must Step 21 happen after Step 3?,1
Must Step 15 happen after Step 3?,1
Must Step 20 happen after Step 3?,1
Must Step 18 happen after Step 3?,1
Must Step 13 happen after Step 1?,1
