binary_question,Count
Must Step 1 happen before Step 3?,42
Must Step 1 happen before Step 4?,40
Must Step 1 happen before Step 5?,38
Must Step 2 happen before Step 3?,36
Must Step 3 happen before Step 4?,36
Must Step 2 happen before Step 4?,36
Must Step 1 happen before Step 6?,33
Must Step 1 happen before Step 2?,32
Must Step 4 happen before Step 6?,32
Must Step 3 happen before Step 6?,31
Must Step 3 happen before Step 5?,29
Must Step 2 happen before Step 5?,29
Must Step 4 happen before Step 7?,29
Must Step 1 happen before Step 7?,29
Must Step 4 happen before Step 5?,27
Must Step 7 happen before Step 8?,27
Must Step 1 happen before Step 8?,27
Must Step 2 happen before Step 8?,27
Must Step 3 happen before Step 8?,26
Must Step 3 happen before Step 9?,26
Must Step 2 happen before Step 7?,26
Must Step 5 happen before Step 7?,26
Must Step 3 happen before Step 7?,25
Must Step 5 happen before Step 6?,25
Must Step 2 happen before Step 6?,24
Must Step 5 happen before Step 8?,23
Must Step 6 happen before Step 8?,23
Must Step 1 happen before Step 9?,22
Must Step 4 happen before Step 8?,21
Must Step 5 happen before Step 9?,20
Must Step 6 happen before Step 10?,20
Must Step 6 happen before Step 9?,19
Must Step 4 happen before Step 10?,18
Must Step 2 happen before Step 9?,18
Must Step 7 happen before Step 9?,17
Must Step 8 happen before Step 9?,17
Must Step 1 happen before Step 10?,16
Must Step 6 happen before Step 7?,16
Must Step 2 happen before Step 10?,16
Must Step 7 happen before Step 10?,15
Must Step 5 happen before Step 10?,15
Must Step 4 happen before Step 9?,15
Must Step 9 happen before Step 10?,14
Must Step 3 happen before Step 10?,14
Must Step 8 happen before Step 10?,13
Must Step 5 happen before Step 11?,13
Must Step 6 happen before Step 11?,13
Must Step 4 happen before Step 11?,12
Must Step 3 happen before Step 11?,12
Must Step 8 happen before Step 11?,11
Must Step 7 happen before Step 11?,11
Must Step 1 happen before Step 11?,11
Must Step 2 happen before Step 11?,11
Must Step 6 happen before Step 12?,10
Must Step 12 happen before Step 13?,10
Must Step 9 happen before Step 11?,10
Must Step 10 happen before Step 11?,10
Must Step 10 happen before Step 12?,10
Must Step 7 happen before Step 12?,9
Must Step 10 happen before Step 13?,9
Must Step 1 happen before Step 12?,9
Must Step 8 happen before Step 12?,8
Must Step 5 happen before Step 13?,8
Must Step 9 happen before Step 12?,8
Must Step 5 happen before Step 12?,8
Must Step 4 happen before Step 12?,8
Must Step 2 happen before Step 12?,8
Must Step 3 happen before Step 13?,7
Must Step 2 happen before Step 13?,7
Must Step 11 happen before Step 13?,7
Must Step 10 happen before Step 14?,7
Must Step 7 happen before Step 13?,7
Must Step 1 happen before Step 14?,7
Must Step 3 happen before Step 12?,7
Must Step 11 happen before Step 12?,6
Must Step 12 happen before Step 14?,6
Must Step 11 happen before Step 14?,6
Must Step 3 happen before Step 14?,6
Must Step 7 happen before Step 14?,6
Must Step 6 happen before Step 14?,6
Must Step 15 happen before Step 16?,5
Must Step 12 happen before Step 15?,5
Must Step 11 happen before Step 15?,5
Must Step 2 happen before Step 14?,5
Must Step 6 happen before Step 13?,5
Must Step 13 happen before Step 14?,5
Must Step 8 happen before Step 13?,5
Must Step 5 happen before Step 16?,5
Must Step 1 happen before Step 13?,5
Must Step 4 happen before Step 15?,5
Must Step 9 happen before Step 14?,5
Must Step 3 happen before Step 15?,4
Must Step 6 happen before Step 15?,4
Must Step 5 happen before Step 14?,4
Must Step 4 happen before Step 14?,4
Must Step 9 happen before Step 13?,4
Must Step 1 happen before Step 16?,4
Must Step 2 happen before Step 16?,4
Must Step 10 happen before Step 15?,4
Must Step 5 happen before Step 15?,4
Must Step 7 happen before Step 15?,4
Must Step 10 happen before Step 16?,4
Must Step 4 happen before Step 13?,4
Must Step 8 happen before Step 14?,4
Must Step 11 happen before Step 16?,3
Must Step 3 happen before Step 16?,3
Must Step 2 happen before Step 15?,3
Must Step 8 happen before Step 15?,3
Must Step 7 happen before Step 16?,3
Must Step 1 happen before Step 15?,3
Must Step 9 happen before Step 16?,3
Must Step 14 happen before Step 15?,3
Must Step 13 happen before Step 15?,3
Must Step 3 happen before Step 17?,3
Must Step 16 happen before Step 19?,2
Must Step 15 happen before Step 19?,2
Must Step 15 happen before Step 18?,2
Must Step 14 happen before Step 20?,2
Must Step 14 happen before Step 19?,2
Must Step 13 happen before Step 16?,2
Must Step 14 happen before Step 18?,2
Must Step 14 happen before Step 16?,2
Must Step 13 happen before Step 20?,2
Must Step 13 happen before Step 19?,2
Must Step 16 happen before Step 21?,2
Must Step 12 happen before Step 19?,2
Must Step 11 happen before Step 17?,2
Must Step 16 happen before Step 20?,2
Must Step 18 happen before Step 20?,2
Must Step 17 happen before Step 18?,2
Must Step 6 happen before Step 16?,2
Must Step 15 happen before Step 17?,2
Must Step 12 happen before Step 17?,2
Must Step 10 happen before Step 17?,2
Must Step 9 happen before Step 17?,2
Must Step 8 happen before Step 17?,2
Must Step 8 happen before Step 16?,2
Must Step 10 happen before Step 20?,2
Must Step 17 happen before Step 19?,2
Must Step 20 happen before Step 21?,2
Must Step 19 happen before Step 21?,2
Must Step 19 happen before Step 20?,2
Must Step 18 happen before Step 21?,2
Must Step 17 happen before Step 21?,2
Must Step 17 happen before Step 20?,2
Must Step 1 happen before Step 17?,2
Must Step 11 happen before Step 19?,2
Must Step 10 happen before Step 19?,2
Must Step 8 happen before Step 18?,2
Must Step 1 happen before Step 19?,2
Must Step 1 happen before Step 20?,2
Must Step 2 happen before Step 17?,2
Must Step 2 happen before Step 18?,2
Must Step 2 happen before Step 19?,2
Must Step 2 happen before Step 20?,2
Must Step 3 happen before Step 19?,2
Must Step 4 happen before Step 20?,2
Must Step 5 happen before Step 19?,2
Must Step 5 happen before Step 21?,2
Must Step 6 happen before Step 19?,2
Must Step 7 happen before Step 18?,2
Must Step 7 happen before Step 19?,2
Must Step 4 happen before Step 19?,2
Must Step 1 happen before Step 18?,2
Must Step 8 happen before Step 19?,2
Must Step 8 happen before Step 20?,2
Must Step 8 happen before Step 21?,2
Must Step 9 happen before Step 19?,2
Must Step 9 happen before Step 20?,2
Must Step 9 happen before Step 15?,2
Must Step 9 happen before Step 18?,2
Must Step 11 happen before Step 20?,1
Must Step 4 happen before Step 21?,1
Must Step 5 happen before Step 20?,1
Must Step 6 happen before Step 18?,1
Must Step 6 happen before Step 21?,1
Must Step 7 happen before Step 21?,1
Must Step 11 happen before Step 22?,1
Must Step 11 happen before Step 21?,1
Must Step 9 happen before Step 21?,1
Must Step 4 happen before Step 17?,1
Must Step 1 happen before Step 22?,1
Must Step 10 happen before Step 21?,1
Must Step 12 happen before Step 16?,1
Must Step 12 happen before Step 21?,1
Must Step 11 happen before Step 18?,1
Must Step 5 happen before Step 17?,1
Must Step 6 happen before Step 17?,1
Must Step 7 happen before Step 17?,1
Must Step 4 happen before Step 18?,1
Must Step 14 happen before Step 17?,1
Must Step 1 happen before Step 21?,1
Must Step 2 happen before Step 21?,1
Must Step 7 happen before Step 22?,1
Must Step 7 happen before Step 20?,1
