binary_question,Count
Must Step 6 happen before Step 7?,17
Must Step 5 happen before Step 6?,17
Must Step 3 happen before Step 5?,15
Must Step 2 happen before Step 4?,15
Must Step 2 happen before Step 6?,15
Must Step 4 happen before Step 5?,14
Must Step 3 happen before Step 4?,14
Must Step 2 happen before Step 5?,14
Must Step 4 happen before Step 9?,13
Must Step 2 happen before Step 3?,13
Must Step 4 happen before Step 8?,12
Must Step 1 happen before Step 2?,12
Must Step 6 happen before Step 8?,11
Must Step 3 happen before Step 6?,11
Must Step 5 happen before Step 7?,11
Must Step 3 happen before Step 7?,11
Must Step 5 happen before Step 8?,11
Must Step 8 happen before Step 9?,11
Must Step 1 happen before Step 3?,11
Must Step 2 happen before Step 7?,10
Must Step 8 happen before Step 10?,10
Must Step 1 happen before Step 4?,10
Must Step 7 happen before Step 9?,10
Must Step 2 happen before Step 9?,9
Must Step 3 happen before Step 10?,9
Must Step 6 happen before Step 9?,9
Must Step 3 happen before Step 8?,8
Must Step 9 happen before Step 10?,8
Must Step 7 happen before Step 10?,7
Must Step 1 happen before Step 5?,7
Must Step 1 happen before Step 10?,7
Must Step 1 happen before Step 6?,7
Must Step 2 happen before Step 8?,7
Must Step 5 happen before Step 9?,7
Must Step 5 happen before Step 10?,7
Must Step 4 happen before Step 6?,6
Must Step 11 happen before Step 12?,6
Must Step 7 happen before Step 8?,6
Must Step 3 happen before Step 12?,6
Must Step 4 happen before Step 13?,6
Must Step 2 happen before Step 10?,6
Must Step 4 happen before Step 7?,6
Must Step 9 happen before Step 11?,5
Must Step 2 happen before Step 12?,5
Must Step 6 happen before Step 13?,5
Must Step 1 happen before Step 13?,5
Must Step 5 happen before Step 12?,5
Must Step 1 happen before Step 9?,5
Must Step 4 happen before Step 12?,5
Must Step 1 happen before Step 8?,5
Must Step 9 happen before Step 13?,5
Must Step 4 happen before Step 10?,5
Must Step 5 happen before Step 14?,4
Must Step 1 happen before Step 7?,4
Must Step 3 happen before Step 13?,4
Must Step 12 happen before Step 16?,4
Must Step 10 happen before Step 11?,4
Must Step 8 happen before Step 13?,4
Must Step 1 happen before Step 11?,4
Must Step 4 happen before Step 14?,4
Must Step 4 happen before Step 16?,4
Must Step 2 happen before Step 11?,4
Must Step 3 happen before Step 11?,4
Must Step 8 happen before Step 12?,4
Must Step 6 happen before Step 10?,4
Must Step 8 happen before Step 11?,3
Must Step 1 happen before Step 12?,3
Must Step 7 happen before Step 13?,3
Must Step 13 happen before Step 15?,3
Must Step 6 happen before Step 11?,3
Must Step 8 happen before Step 14?,3
Must Step 2 happen before Step 13?,3
Must Step 13 happen before Step 17?,3
Must Step 4 happen before Step 11?,3
Must Step 11 happen before Step 13?,3
Must Step 7 happen before Step 11?,3
