binary_question,Count
Must Step 3 happen after Step 2?,34
Must Step 4 happen after Step 3?,32
Must Step 5 happen after Step 4?,27
Must Step 8 happen after Step 7?,27
Must Step 2 happen after Step 1?,24
Must Step 4 happen after Step 2?,22
Must Step 6 happen after Step 5?,22
Must Step 6 happen after Step 4?,22
Must Step 8 happen after Step 6?,21
Must Step 5 happen after Step 3?,21
Must Step 7 happen after Step 5?,19
Must Step 4 happen after Step 1?,19
Must Step 7 happen after Step 6?,18
Must Step 7 happen after Step 4?,18
Must Step 8 happen after Step 5?,18
Must Step 3 happen after Step 1?,18
Must Step 9 happen after Step 6?,16
Must Step 9 happen after Step 7?,16
Must Step 9 happen after Step 8?,16
Must Step 5 happen after Step 1?,15
Must Step 9 happen after Step 5?,14
Must Step 5 happen after Step 2?,14
Must Step 8 happen after Step 3?,13
Must Step 8 happen after Step 4?,13
Must Step 10 happen after Step 9?,12
Must Step 7 happen after Step 3?,12
Must Step 11 happen after Step 10?,11
Must Step 6 happen after Step 3?,11
Must Step 6 happen after Step 2?,11
Must Step 13 happen after Step 12?,10
Must Step 6 happen after Step 1?,10
Must Step 9 happen after Step 3?,10
Must Step 8 happen after Step 2?,9
Must Step 11 happen after Step 8?,9
Must Step 7 happen after Step 2?,8
Must Step 9 happen after Step 4?,8
Must Step 11 happen after Step 9?,8
Must Step 10 happen after Step 7?,8
Must Step 7 happen after Step 1?,8
Must Step 12 happen after Step 10?,8
Must Step 10 happen after Step 6?,7
Must Step 10 happen after Step 8?,7
Must Step 12 happen after Step 7?,7
Must Step 13 happen after Step 10?,7
Must Step 13 happen after Step 11?,7
Must Step 12 happen after Step 9?,7
Must Step 9 happen after Step 2?,6
Must Step 9 happen after Step 1?,6
Must Step 11 happen after Step 7?,6
Must Step 14 happen after Step 13?,5
Must Step 13 happen after Step 7?,5
Must Step 8 happen after Step 1?,5
Must Step 12 happen after Step 11?,5
Must Step 16 happen after Step 15?,5
Must Step 14 happen after Step 10?,5
Must Step 12 happen after Step 6?,5
Must Step 10 happen after Step 1?,4
Must Step 11 happen after Step 5?,4
Must Step 15 happen after Step 11?,4
Must Step 11 happen after Step 3?,4
Must Step 12 happen after Step 8?,4
Must Step 13 happen after Step 3?,4
Must Step 12 happen after Step 4?,4
Must Step 10 happen after Step 5?,4
Must Step 11 happen after Step 6?,4
Must Step 11 happen after Step 4?,4
Must Step 14 happen after Step 12?,4
Must Step 13 happen after Step 9?,3
Must Step 15 happen after Step 10?,3
Must Step 13 happen after Step 8?,3
Must Step 15 happen after Step 14?,3
Must Step 10 happen after Step 4?,3
Must Step 12 happen after Step 1?,3
Must Step 15 happen after Step 13?,3
Must Step 12 happen after Step 2?,3
Must Step 13 happen after Step 2?,3
Must Step 15 happen after Step 12?,3
Must Step 12 happen after Step 5?,3
Must Step 14 happen after Step 11?,3
Must Step 16 happen after Step 10?,3
Must Step 11 happen after Step 1?,2
Must Step 18 happen after Step 17?,2
Must Step 20 happen after Step 17?,2
Must Step 21 happen after Step 17?,2
Must Step 20 happen after Step 18?,2
Must Step 21 happen after Step 18?,2
Must Step 20 happen after Step 19?,2
Must Step 21 happen after Step 19?,2
Must Step 21 happen after Step 20?,2
Must Step 13 happen after Step 5?,2
Must Step 11 happen after Step 2?,2
Must Step 12 happen after Step 3?,2
Must Step 15 happen after Step 4?,2
Must Step 20 happen after Step 16?,2
